features,scaler,pca,evr,method,k,silhouette,calinski,davies_bouldin,bic,min_size
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.7706101198644884,GMM-diag,2,0.538932742021871,139.19242947037122,0.8856211418156702,1420.1552635283988,28
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.7111396639165194,GMM-full,2,0.5386775204612525,40.046740808854004,1.9996044203143346,1518.0328993515498,26
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.7996644000341998,GMM-diag,2,0.5371324913468595,34.22836563145574,2.005935628106989,1428.4297022368403,25
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,none,,GMM-full,2,0.5370733125907339,34.49404705298336,1.9962404505148863,1438.4262947867062,25
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.7233558169967369,GMM-diag,2,0.5369851648170574,46.82142630471962,1.7659749903207524,1526.156561807367,26
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.7706101198644884,Agg-ward,2,0.536720422225058,132.00055646720918,0.819342962196029,,23
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,rasio_adopsi_telemedicine",robust,pca2,0.8340613488693495,GMM-spherical,2,0.5365042084103469,108.3920797165645,0.9845649405922016,1477.6870413371564,25
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.8043589392785135,GMM-spherical,2,0.5350723562854718,147.12197946460782,0.8303475969803437,1420.0503357022717,27
"skor_kematangan_digital,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.8252036353184269,GMM-full,2,0.5345595550044622,164.8111943142382,0.6902454865347483,1401.1114460024685,26
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",robust,pca2,0.8599542578127188,GMM-diag,2,0.5337930088999083,48.33766697127646,1.7780037901909842,1522.8959577995045,27
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.7233558169967369,GMM-full,2,0.5311306209745151,40.54798653433055,2.0050237028572684,1521.5117365975057,27
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.680673322237648,GMM-diag,2,0.5306604976932179,155.61883520879644,0.8592088752685016,1439.13171955231,30
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.680673322237648,GMM-spherical,2,0.5306604976932179,155.61883520879644,0.8592088752685016,1434.0046235960713,30
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,none,,GMM-diag,2,0.5292197965168288,29.24433163765811,2.241401745075095,1433.8068118045153,26
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.8043589392785135,GMM-full,2,0.5282064210558458,154.008937904642,0.8246530366637884,1429.785674183545,29
"beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.5278021789588244,185.19935658810616,0.7457051759221418,1294.3652252520058,32
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",robust,pca2,0.8599542578127188,GMM-full,2,0.5273868452485406,43.188088464678785,1.9497536256132457,1518.6020674498593,28
"beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-full,2,0.5265394240641579,185.051915837682,0.8632274138464797,1304.3994412923662,39
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7030028321579249,GMM-spherical,2,0.5257195565872983,22.667009407670484,2.9906706749035274,1588.7625163500522,36
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7635182835714349,GMM-full,2,0.5250059388815065,61.54629858606565,1.6994237199323394,1634.6595601796394,36
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.5248796341079609,175.9240597300615,0.8604604772570159,1353.0830690436446,36
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8206799956824361,GMM-spherical,2,0.5241162453587362,33.78609662778772,2.4388541010742064,1542.845820412036,41
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.6625553343151093,GMM-full,2,0.5240894967699672,160.80427671388173,0.8259239124074815,1432.5581393058224,30
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8655094149910896,GMM-full,2,0.5236332343247038,58.92068353948968,1.7313315953926265,1619.342017935238,36
"efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5236284377345196,34.23381671662192,2.422526790293332,1543.0153589008792,41
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7287394342040144,GMM-spherical,2,0.52334701925834,34.62293617631934,2.4163952622418763,1571.5585817597614,40
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,none,,GMM-full,2,0.5225202930231696,174.41401014400404,0.8797169341253979,1358.4668103619472,37
"efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,none,,GMM-spherical,2,0.5223963995334173,38.78185371895608,2.2737160002942556,1415.5828567823046,42
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.8181200353000718,GMM-full,2,0.5221232060445987,158.0585191843216,0.827134422344389,1435.4844534103484,29
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,none,,KMeans,2,0.520745718069178,176.07169898203344,0.8676563486745219,,37
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.791836915518517,GMM-full,2,0.5205836369291562,26.936204699936425,2.401943948979982,1482.4089709762818,27
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.717758801986607,GMM-full,2,0.5200312045008737,141.0516043959545,0.8184542378987036,1485.6388337740398,26
"beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.861600550081983,GMM-spherical,2,0.5195221432742617,36.61273594235402,2.3401187189789874,1571.5424892506026,41
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7329728302196978,GMM-spherical,2,0.5193322559673611,24.45400368721342,2.8850646131153446,1594.0304524910227,38
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8655094149910896,GMM-spherical,2,0.5189759169041429,24.94284619741166,2.8550072051146,1593.583814083846,38
"skor_kematangan_digital,efisiensi_anggaran_it",robust,none,,GMM-diag,2,0.5172871407146653,53.2382210012176,1.7318409408512405,1364.3801685319077,34
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.680673322237648,Agg-ward,2,0.5156815177966697,132.42108443144016,0.8121372293356606,,25
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7450455408707282,GMM-spherical,2,0.5145198520086419,17.24927104129592,3.4371600172663737,1640.623005278284,35
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8249650485881156,GMM-spherical,2,0.5139070411914939,26.725864744905277,2.7425149639441178,1587.9733521951612,39
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.6769452766043093,GMM-diag,2,0.5135753922280868,63.33087558124483,1.474368482959397,1472.2944607244042,27
"efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.512615861997979,38.08040700219006,2.2659553425812806,1547.4801313142696,44
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7317681555584503,GMM-spherical,2,0.5113227998386786,30.86943664222017,2.5441733929738772,1606.0141200376222,40
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7450455408707282,GMM-diag,2,0.5105165933723591,18.083772540875604,3.3574205825247914,1646.816561456055,36
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,pca2,0.6713955689130374,GMM-diag,2,0.5104625221980104,35.42856510528329,1.9965387985167011,1669.047575567666,23
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7635182835714349,GMM-diag,2,0.5103719385104364,35.78474506969938,2.3543707441790707,1614.7299337857075,41
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7030028321579249,GMM-full,2,0.5102920356585757,27.339916427293748,2.7058215805324815,1605.4788529046346,40
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.6778856121400558,GMM-full,2,0.5098110180847268,42.88095360607077,1.8077019578288454,1448.4545835639838,29
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7317681555584503,GMM-diag,2,0.5079901597502513,32.24611458334226,2.482448284688748,1612.0845603517266,41
"skor_kematangan_digital,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-spherical,2,0.5055127583299217,120.73381980135258,0.8114981711482402,1939.2960887598256,23
"skor_kematangan_digital,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5055127583299216,120.73381980135254,0.8114981711482405,1939.2960887598258,23
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8206799956824361,GMM-full,2,0.5052525138961576,39.80176609226619,2.195369424780192,1552.4941463380396,46
"efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,none,,GMM-full,2,0.5050064830326128,40.325829967867364,2.180494845710533,1552.0945809474927,46
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.7706101198644884,GMM-full,2,0.5049563945715385,160.67209840606603,0.8617678500327827,1397.9780270126794,35
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-spherical,2,0.5044663282260219,109.7573524439598,0.8851011434836736,1997.5276518670337,22
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5044663282260218,109.75735244395985,0.8851011434836735,1997.5276518670337,22
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.6778856121400558,GMM-diag,2,0.5042540361203943,53.231774758087184,1.5886071365497414,1444.421674446068,31
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7635182835714349,GMM-spherical,2,0.5035604648037415,29.48832311457242,2.642425039907579,1612.634005131341,42
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.717758801986607,GMM-diag,2,0.5026426616262235,60.04995573313433,1.607676127392338,1496.8335005707718,30
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.6769452766043093,GMM-full,2,0.5024004591051954,142.49429488095416,0.8649683433484671,1443.5197833233967,31
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8655094149910896,GMM-diag,2,0.5017495130660349,30.414753502958053,2.5586698043919927,1594.081560365583,43
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8206799956824361,GMM-diag,2,0.501452216564252,40.06117751980083,2.19872652953424,1542.180414282465,47
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",standard,pca2,0.8001942940101744,GMM-diag,2,0.5014103802663225,63.74065677852322,1.461198556238083,1617.7796633319151,25
"efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,none,,Agg-ward,2,0.5008436608644125,106.67024987823649,0.7917402887821094,,27
"rata_rata_waktu_respons_rujukan_menit,rasio_adopsi_telemedicine",robust,none,,GMM-full,2,0.5004500776653977,166.7580470569235,0.8740782491093372,1385.495732713268,37
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.8116281159991565,GMM-diag,2,0.4997428053513024,55.299259920659225,1.5556561405866003,1442.8751691938896,32
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7030028321579249,GMM-diag,2,0.4996581080139794,31.485894449419547,2.4909537348729547,1595.3910004877825,43
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-diag,2,0.4979897133583975,122.74008292851063,0.8224649555013293,1943.7573561057511,24
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",standard,none,,GMM-full,2,0.4977877389570894,115.11313111714858,0.956187338692803,1495.4438472452464,29
"skor_kematangan_digital,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.4968627429743281,192.89640793230356,0.817536368830905,1321.1955721676288,44
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",standard,none,,GMM-spherical,2,0.4947906276012655,27.18933707152435,2.3355092790363647,1546.7329493401917,24
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.8116281159991565,GMM-full,2,0.49411009325545163,47.8013728867403,1.7018685995071887,1446.6899069047101,32
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7287394342040144,Agg-ward,2,0.49373750666187244,88.2441112612966,0.7440399758447298,,22
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.8249650485881156,GMM-diag,2,0.49305059691072417,50.227125248768075,1.3309012963006173,1687.8476841342144,24
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,0.8543089616376605,GMM-spherical,2,0.4923393578969151,105.44416838712966,0.9008661188669815,2065.5102374186094,22
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.49231797584148934,30.02038439908781,2.5485864292264604,2175.2603188741277,35
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-spherical,2,0.49231797584137227,30.0203843990878,2.548586429226461,2175.2603188741273,35
"skor_kematangan_digital,efisiensi_anggaran_it",standard,none,,GMM-full,2,0.4921716400319368,70.29997248082542,1.4509570248379153,1456.332510219667,32
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-spherical,2,0.49152396426368966,120.70315199080538,0.9156084296584862,1951.0410774361246,27
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.49152396426368966,120.7031519908054,0.9156084296584865,1951.0410774361246,27
"rata_rata_waktu_respons_rujukan_menit,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.49114492433303886,171.21999435933023,0.894322580712437,1387.7090415174555,41
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.6769452766043093,Agg-ward,2,0.49031129541305,142.4887804584613,0.8813669670056472,,33
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",standard,none,,GMM-diag,2,0.4902133111676289,112.35786659739244,0.9907161998013743,1490.126877084673,30
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",robust,pca2,0.8599542578127188,Agg-ward,2,0.48975511903066254,120.24236961699592,0.8663198959590839,,26
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7329728302196978,GMM-diag,2,0.4892098912439626,50.253227389419074,1.3294895133589775,1686.2088891195474,25
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,rasio_adopsi_telemedicine",robust,pca2,0.8340613488693495,GMM-full,2,0.4861620339449481,149.93032511422598,0.8816163924066621,1434.1291800366973,35
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.7111396639165194,GMM-diag,2,0.48603184691367946,57.52193175371999,1.6647636439541627,1525.4454207010024,37
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca3,0.8578222107090765,GMM-spherical,2,0.48516929897575967,22.19404059706989,2.931599448574693,2255.978430459857,32
"skor_kematangan_digital,efisiensi_anggaran_it",standard,none,,GMM-spherical,2,0.4845994855363916,99.044840789791,1.1945785157812736,1503.3464339508355,38
"skor_kematangan_digital,rasio_adopsi_telemedicine",robust,none,,GMM-full,2,0.4843027652291456,187.3863273146035,0.8427290592108866,1290.8775913253555,46
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca3,1.0,GMM-spherical,2,0.4842400171016149,101.05311351005146,0.965094122007464,2035.4292024585736,23
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.4842400171016149,101.05311351005139,0.9650941220074643,2035.4292024585736,23
"beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,pca2,0.773757696292108,GMM-spherical,2,0.4816980912468119,27.192273090331675,2.627222649047742,1605.0173353871103,35
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,pca2,0.6182618756285487,GMM-spherical,2,0.48030748521112737,32.79174775141897,2.2303856894877283,1653.7605131615114,33
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.4786560764460595,25.855760299740737,2.7332360272830747,2221.16403494325,34
"tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca3,0.9999999999999999,GMM-spherical,2,0.4786560764460594,25.855760299740737,2.7332360272830742,2221.16403494325,34
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,pca2,0.7620347478876704,GMM-spherical,2,0.47747809580306283,10.003544914040981,4.487016876008395,1591.4331865302343,35
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca3,1.0,GMM-diag,2,0.47572504391470666,36.260510138283465,2.0578599272133897,1992.0263995231398,28
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca3,1.0,Agg-ward,2,0.47569250761263565,113.50552921909906,0.8426929673532529,,24
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,Agg-ward,2,0.47569250761263565,113.50552921909903,0.8426929673532533,,24
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-diag,2,0.47489534282369544,119.47451635753606,0.8932055456229709,1932.15511494562,27
"beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,KMeans,2,0.47487538647790967,199.94106288654373,0.9067257874753861,,58
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca2,0.7635182835714349,GMM-full,3,0.47456166369522246,62.55264447661032,1.8855575283057915,1612.140519143982,23
"beban_pasien_per_staf,efisiensi_anggaran_it",standard,none,,GMM-full,2,0.4741016689644649,16.58289708128851,2.7832222891054483,1516.2514124950671,23
"skor_kematangan_digital,efisiensi_anggaran_it,rasio_adopsi_telemedicine",standard,pca2,0.7859592837490429,GMM-diag,2,0.4740812911163442,19.716076920831913,3.1493118189923566,1580.1936675689362,37
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it,rasio_adopsi_telemedicine",robust,pca3,0.887519863225272,GMM-spherical,2,0.47402478427685557,21.624609537214095,2.978665267100011,2268.401894892601,33
